Zip Code,City,County,State,Market Status,Priority Level,Avg Home Value,Avg Days on Market,Total Leads,Contracts Won,Success Rate,Notes,Last Updated
37215,Nashville,Davidson,TN,Active,Low,625000,25,0,0,0%,Green Hills,
37216,Nashville,Davidson,TN,Active,High,375000,24,0,0,0%,Inglewood,
37217,Nashville,Davidson,TN,Active,High,325000,30,0,0,0%,Southeast Nashville,
37218,Nashville,Davidson,TN,Active,High,275000,32,0,0,0%,Bordeaux,
37219,Nashville,Davidson,TN,Active,Low,525000,25,0,0,0%,Downtown core,
37220,Nashville,Davidson,TN,Active,Medium,475000,26,0,0,0%,Oak Hill,
37221,Nashville,Davidson,TN,Active,Medium,425000,28,0,0,0%,Bellevue,
# Lewisburg Area
37091,Lewisburg,Marshall,TN,Active,High,275000,35,0,0,0%,County seat,
# Tullahoma Area
37388,Tullahoma,Coffee,TN,Active,High,285000,32,0,0,0%,Arnold AFB nearby,
37389,Tullahoma,Coffee,TN,Active,High,275000,34,0,0,0%,Aerospace jobs,
# Shelbyville Area
37160,Shelbyville,Bedford,TN,Active,High,265000,35,0,0,0%,Walking Horse capital,
37161,Shelbyville,Bedford,TN,Active,High,255000,38,0,0,0%,Rural area,
# Clarksville Area
37040,Clarksville,Montgomery,TN,Active,High,295000,28,0,0,0%,Fort Campbell,
37042,Clarksville,Montgomery,TN,Active,High,285000,30,0,0,0%,Military housing demand,
37043,Clarksville,Montgomery,TN,Active,High,305000,26,0,0,0%,Growing fast,
# Knoxville Metro Area
37902,Knoxville,Knox,TN,Active,Medium,375000,28,0,0,0%,Downtown,
37909,Knoxville,Knox,TN,Active,High,325000,30,0,0,0%,West Knoxville,
37912,Knoxville,Knox,TN,Active,High,275000,32,0,0,0%,North Knoxville,
37914,Knoxville,Knox,TN,Active,High,265000,35,0,0,0%,East Knoxville,
37915,Knoxville,Knox,TN,Active,High,285000,30,0,0,0%,Park City,
37916,Knoxville,Knox,TN,Active,High,295000,28,0,0,0%,Fort Sanders,
37917,Knoxville,Knox,TN,Active,High,275000,32,0,0,0%,North Hills,
37918,Knoxville,Knox,TN,Active,High,285000,30,0,0,0%,Fountain City,
37919,Knoxville,Knox,TN,Active,Medium,375000,26,0,0,0%,Bearden,
37920,Knoxville,Knox,TN,Active,High,295000,28,0,0,0%,South Knoxville,
37921,Knoxville,Knox,TN,Active,High,265000,34,0,0,0%,Western Heights,
37922,Knoxville,Knox,TN,Active,Medium,425000,24,0,0,0%,Farragut,
37923,Knoxville,Knox,TN,Active,High,325000,28,0,0,0%,Cedar Bluff,
37924,Knoxville,Knox,TN,Active,High,255000,36,0,0,0%,Mascot,
37931,Knoxville,Knox,TN,Active,High,345000,26,0,0,0%,Powell,
37932,Knoxville,Knox,TN,Active,High,375000,24,0,0,0%,West Hills,
37934,Knoxville,Knox,TN,Active,Medium,450000,22,0,0,0%,Farragut premium,
# Johnson City Area
37601,Johnson City,Washington,TN,Active,High,275000,30,0,0,0%,Downtown JC,
37604,Johnson City,Washington,TN,Active,High,285000,28,0,0,0%,East side,
37615,Johnson City,Washington,TN,Active,High,295000,26,0,0,0%,Gray area,
# Crossville Area
38555,Crossville,Cumberland,TN,Active,High,265000,35,0,0,0%,County seat,
38558,Crossville,Cumberland,TN,Active,High,275000,32,0,0,0%,Lake Tansi,
38571,Fairfield Glade,Cumberland,TN,Active,High,285000,30,0,0,0%,Resort community,
38572,Sparta,White,TN,Active,High,245000,38,0,0,0%,Near Crossville,
# FLORIDA
# Miami Metro Area
33010,Hialeah,Miami-Dade,FL,Active,High,375000,35,0,0,0%,Dense urban,
33012,Hialeah,Miami-Dade,FL,Active,High,385000,32,0,0,0%,Central Hialeah,
33013,Hialeah,Miami-Dade,FL,Active,High,365000,34,0,0,0%,Hialeah Gardens,
33014,Hialeah,Miami-Dade,FL,Active,High,395000,30,0,0,0%,Miami Lakes border,
33015,Hialeah,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Miami Lakes,
33016,Hialeah,Miami-Dade,FL,Active,High,405000,30,0,0,0%,Palm Springs North,
33018,Hialeah,Miami-Dade,FL,Active,High,415000,28,0,0,0%,Miami Lakes,
33054,Opa-locka,Miami-Dade,FL,Active,High,275000,40,0,0,0%,Value area,
33055,Opa-locka,Miami-Dade,FL,Active,High,325000,35,0,0,0%,Miami Gardens,
33056,Miami Gardens,Miami-Dade,FL,Active,High,345000,32,0,0,0%,Growing area,
33125,Miami,Miami-Dade,FL,Active,High,375000,30,0,0,0%,Little Havana,
33126,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Flagami,
33127,Miami,Miami-Dade,FL,Active,High,395000,32,0,0,0%,Wynwood,
33128,Miami,Miami-Dade,FL,Active,Low,550000,25,0,0,0%,Downtown,
33129,Miami,Miami-Dade,FL,Active,Low,625000,28,0,0,0%,Brickell,
33130,Miami,Miami-Dade,FL,Active,Low,575000,26,0,0,0%,Downtown,
33131,Miami,Miami-Dade,FL,Active,Low,650000,25,0,0,0%,Brickell,
33132,Miami,Miami-Dade,FL,Active,Low,525000,28,0,0,0%,Downtown,
33133,Miami,Miami-Dade,FL,Active,Medium,525000,26,0,0,0%,Coconut Grove,
33134,Miami,Miami-Dade,FL,Active,Medium,575000,24,0,0,0%,Coral Gables,
33135,Miami,Miami-Dade,FL,Active,High,385000,30,0,0,0%,Shenandoah,
33136,Miami,Miami-Dade,FL,Active,High,375000,32,0,0,0%,Overtown,
33137,Miami,Miami-Dade,FL,Active,High,475000,26,0,0,0%,Design District,
33138,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Little Haiti,
33139,Miami Beach,Miami-Dade,FL,Active,Low,725000,30,0,0,0%,South Beach,
33140,Miami Beach,Miami-Dade,FL,Active,Low,650000,28,0,0,0%,Mid Beach,
33141,Miami Beach,Miami-Dade,FL,Active,Medium,525000,30,0,0,0%,North Beach,
33142,Miami,Miami-Dade,FL,Active,High,325000,35,0,0,0%,Liberty City,
33143,Miami,Miami-Dade,FL,Active,Medium,525000,26,0,0,0%,South Miami,
33144,Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,Westchester,
33145,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,West Flagler,
33146,Miami,Miami-Dade,FL,Active,Medium,575000,24,0,0,0%,Coral Gables,
33147,Miami,Miami-Dade,FL,Active,High,295000,38,0,0,0%,Brownsville,
33150,Miami,Miami-Dade,FL,Active,High,345000,32,0,0,0%,North Miami,
33155,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Kendall,
33156,Miami,Miami-Dade,FL,Active,Medium,525000,26,0,0,0%,Pinecrest,
33157,Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,Palmetto Bay,
33158,Miami,Miami-Dade,FL,Active,Medium,475000,28,0,0,0%,Palmetto Bay,
33160,North Miami Beach,Miami-Dade,FL,Active,High,385000,32,0,0,0%,Aventura area,
33161,North Miami,Miami-Dade,FL,Active,High,375000,30,0,0,0%,North Miami,
33162,North Miami Beach,Miami-Dade,FL,Active,High,365000,32,0,0,0%,NMB,
33165,Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,Westchester,
33166,Miami,Miami-Dade,FL,Active,High,405000,28,0,0,0%,Medley area,
33167,Miami,Miami-Dade,FL,Active,High,345000,34,0,0,0%,North Miami,
33168,Miami,Miami-Dade,FL,Active,High,355000,32,0,0,0%,El Portal,
33169,Miami,Miami-Dade,FL,Active,High,375000,30,0,0,0%,Miami Gardens,
33170,Miami,Miami-Dade,FL,Active,High,385000,28,0,0,0%,South Dade,
33172,Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,Fontainebleau,
33173,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Westchester,
33174,Miami,Miami-Dade,FL,Active,High,385000,30,0,0,0%,Tamiami,
33175,Miami,Miami-Dade,FL,Active,High,395000,28,0,0,0%,Tamiami,
33176,Miami,Miami-Dade,FL,Active,High,425000,26,0,0,0%,Kendall,
33177,Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,South Kendall,
33178,Miami,Miami-Dade,FL,Active,High,415000,28,0,0,0%,Doral,
33179,Miami,Miami-Dade,FL,Active,High,385000,30,0,0,0%,Ives Estates,
33180,Miami,Miami-Dade,FL,Active,Medium,475000,26,0,0,0%,Aventura,
33181,North Miami,Miami-Dade,FL,Active,High,395000,30,0,0,0%,North Miami,
33182,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,Doral,
33183,Miami,Miami-Dade,FL,Active,High,435000,26,0,0,0%,Kendall,
33184,Miami,Miami-Dade,FL,Active,High,385000,30,0,0,0%,Sweetwater,
33185,Miami,Miami-Dade,FL,Active,High,415000,28,0,0,0%,Kendall,
33186,Miami,Miami-Dade,FL,Active,High,445000,26,0,0,0%,Kendall,
33187,Miami,Miami-Dade,FL,Active,High,425000,28,0,0,0%,South Kendall,
33189,Miami,Miami-Dade,FL,Active,High,365000,32,0,0,0%,Cutler Bay,
33190,Miami,Miami-Dade,FL,Active,High,345000,34,0,0,0%,Cutler Bay,
33193,Miami,Miami-Dade,FL,Active,High,375000,30,0,0,0%,Kendale Lakes,
33196,Miami,Miami-Dade,FL,Active,High,435000,28,0,0,0%,Three Lakes,
# Port St Lucie Area
34952,Port St Lucie,St Lucie,FL,Active,High,325000,30,0,0,0%,PSL South,
34953,Port St Lucie,St Lucie,FL,Active,High,335000,28,0,0,0%,PSL Central,
34983,Port St Lucie,St Lucie,FL,Active,High,345000,26,0,0,0%,PSL West,
34984,Port St Lucie,St Lucie,FL,Active,High,355000,28,0,0,0%,St Lucie West,
34986,Port St Lucie,St Lucie,FL,Active,High,365000,26,0,0,0%,Tradition,
34987,Port St Lucie,St Lucie,FL,Active,High,375000,24,0,0,0%,PGA Village,
34988,Port St Lucie,St Lucie,FL,Active,High,345000,28,0,0,0%,North PSL,
# Orlando Metro Area
32801,Orlando,Orange,FL,Active,Medium,425000,25,0,0,0%,Downtown,
32803,Orlando,Orange,FL,Active,High,375000,28,0,0,0%,Colonialtown,
32804,Orlando,Orange,FL,Active,High,395000,26,0,0,0%,College Park,
32805,Orlando,Orange,FL,Active,High,285000,35,0,0,0%,Parramore,
32806,Orlando,Orange,FL,Active,High,365000,28,0,0,0%,Delaney Park,
32807,Orlando,Orange,FL,Active,High,325000,30,0,0,0%,Conway,
32808,Orlando,Orange,FL,Active,High,295000,32,0,0,0%,Pine Hills,
32809,Orlando,Orange,FL,Active,High,345000,28,0,0,0%,Oak Ridge,
32810,Orlando,Orange,FL,Active,High,305000,30,0,0,0%,Lockhart,
32811,Orlando,Orange,FL,Active,High,285000,35,0,0,0%,West Orlando,
32812,Orlando,Orange,FL,Active,High,375000,26,0,0,0%,Belle Isle,
32814,Orlando,Orange,FL,Active,Medium,425000,24,0,0,0%,Baldwin Park,
32817,Orlando,Orange,FL,Active,High,365000,26,0,0,0%,UCF area,
32818,Orlando,Orange,FL,Active,High,335000,28,0,0,0%,Orlovista,
32819,Orlando,Orange,FL,Active,High,375000,26,0,0,0%,Dr Phillips,
32820,Orlando,Orange,FL,Active,High,285000,32,0,0,0%,East Orlando,
32821,Orlando,Orange,FL,Active,High,395000,24,0,0,0%,Windermere area,
32822,Orlando,Orange,FL,Active,High,315000,30,0,0,0%,Azalea Park,
32824,Orlando,Orange,FL,Active,High,375000,26,0,0,0%,Lake Nona,
32825,Orlando,Orange,FL,Active,High,345000,28,0,0,0%,Waterford Lakes,
32826,Orlando,Orange,FL,Active,High,365000,26,0,0,0%,UCF,
32827,Orlando,Orange,FL,Active,High,395000,24,0,0,0%,Lake Nona,
32828,Orlando,Orange,FL,Active,High,385000,25,0,0,0%,Avalon Park,
32829,Orlando,Orange,FL,Active,High,365000,26,0,0,0%,East Orlando,
32832,Orlando,Orange,FL,Active,High,395000,24,0,0,0%,Lake Nona,
32833,Orlando,Orange,FL,Active,High,315000,30,0,0,0%,Bithlo,
32835,Orlando,Orange,FL,Active,High,355000,28,0,0,0%,Metro West,
32836,Orlando,Orange,FL,Active,Medium,475000,24,0,0,0%,Dr Phillips,
32837,Orlando,Orange,FL,Active,High,395000,26,0,0,0%,Hunters Creek,
32839,Orlando,Orange,FL,Active,High,325000,30,0,0,0%,Tourist area,
# Lakeland Area
33801,Lakeland,Polk,FL,Active,High,285000,30,0,0,0%,Downtown,
33803,Lakeland,Polk,FL,Active,High,295000,28,0,0,0%,South Lakeland,
33805,Lakeland,Polk,FL,Active,High,275000,32,0,0,0%,North Lakeland,
33809,Lakeland,Polk,FL,Active,High,325000,26,0,0,0%,North Lakeland,
33810,Lakeland,Polk,FL,Active,High,335000,25,0,0,0%,Northwest Lakeland,
33811,Lakeland,Polk,FL,Active,High,355000,24,0,0,0%,South Lakeland,
33812,Lakeland,Polk,FL,Active,High,345000,26,0,0,0%,Lakeland Highlands,
33813,Lakeland,Polk,FL,Active,High,365000,24,0,0,0%,South Lakeland,
33815,Lakeland,Polk,FL,Active,High,295000,30,0,0,0%,West Lakeland,
# Jacksonville Metro Area
32202,Jacksonville,Duval,FL,Active,Medium,375000,28,0,0,0%,Downtown,
32204,Jacksonville,Duval,FL,Active,High,345000,26,0,0,0%,Riverside,
32205,Jacksonville,Duval,FL,Active,High,365000,24,0,0,0%,Avondale,
32206,Jacksonville,Duval,FL,Active,High,285000,32,0,0,0%,Springfield,
32207,Jacksonville,Duval,FL,Active,High,385000,24,0,0,0%,San Marco,
32208,Jacksonville,Duval,FL,Active,High,265000,35,0,0,0%,North Jax,
32209,Jacksonville,Duval,FL,Active,High,245000,38,0,0,0%,Northwest Jax,
32210,Jacksonville,Duval,FL,Active,High,295000,30,0,0,0%,Westside,
32211,Jacksonville,Duval,FL,Active,High,315000,28,0,0,0%,Arlington,
32212,Jacksonville,Duval,FL,Active,High,285000,32,0,0,0%,NAS Jax,
32216,Jacksonville,Duval,FL,Active,High,345000,26,0,0,0%,Southside,
32217,Jacksonville,Duval,FL,Active,High,355000,25,0,0,0%,Mandarin,
32218,Jacksonville,Duval,FL,Active,High,295000,30,0,0,0%,North Jax,
32219,Jacksonville,Duval,FL,Active,High,275000,32,0,0,0%,Northwest Jax,
32220,Jacksonville,Duval,FL,Active,High,325000,28,0,0,0%,Westside,
32221,Jacksonville,Duval,FL,Active,High,335000,26,0,0,0%,Orange Park area,
32222,Jacksonville,Duval,FL,Active,High,315000,28,0,0,0%,Cecil Field,
32223,Jacksonville,Duval,FL,Active,High,375000,24,0,0,0%,Mandarin,
32224,Jacksonville,Duval,FL,Active,High,425000,22,0,0,0%,Intracoastal,
32225,Jacksonville,Duval,FL,Active,High,385000,24,0,0,0%,Hodges Blvd,
32226,Jacksonville,Duval,FL,Active,High,345000,26,0,0,0%,North Beaches,
32227,Jacksonville,Duval,FL,Active,Medium,425000,24,0,0,0%,Atlantic Beach,
32233,Jacksonville Beach,Duval,FL,Active,Medium,495000,22,0,0,0%,Beaches,
32244,Jacksonville,Duval,FL,Active,High,285000,30,0,0,0%,Southside,
32246,Jacksonville,Duval,FL,Active,High,365000,26,0,0,0%,Southside,
32250,Jacksonville Beach,Duval,FL,Active,Medium,475000,24,0,0,0%,Beaches,
32254,Jacksonville,Duval,FL,Active,High,245000,38,0,0,0%,North Jax,
32256,Jacksonville,Duval,FL,Active,High,395000,24,0,0,0%,Deerwood,
32257,Jacksonville,Duval,FL,Active,High,415000,22,0,0,0%,Baymeadows,
32258,Jacksonville,Duval,FL,Active,High,385000,24,0,0,0%,Southside,
32277,Jacksonville,Duval,FL,Active,High,325000,28,0,0,0%,Arlington,
# Daphne - NOTE: Daphne is in ALABAMA, not Florida
36526,Daphne,Baldwin,AL,Active,High,345000,28,0,0,0%,Eastern Shore,
36527,Daphne,Baldwin,AL,Active,High,365000,26,0,0,0%,Jubilee area,
# Homosassa Area
34446,Homosassa,Citrus,FL,Active,High,275000,35,0,0,0%,Nature Coast,
34448,Homosassa Springs,Citrus,FL,Active,High,285000,32,0,0,0%,Springs area,
# Wildwood Area
34785,Wildwood,Sumter,FL,Active,High,295000,30,0,0,0%,Villages adjacent,
# Ocala Area
34470,Ocala,Marion,FL,Active,High,285000,30,0,0,0%,East Ocala,
34471,Ocala,Marion,FL,Active,High,295000,28,0,0,0%,Southeast,
34472,Ocala,Marion,FL,Active,High,275000,32,0,0,0%,Silver Springs,
34473,Ocala,Marion,FL,Active,High,265000,34,0,0,0%,SW Marion,
34474,Ocala,Marion,FL,Active,High,285000,30,0,0,0%,SW Ocala,
34475,Ocala,Marion,FL,Active,High,295000,28,0,0,0%,NW Ocala,
34476,Ocala,Marion,FL,Active,High,315000,26,0,0,0%,On Top of the World,
34479,Ocala,Marion,FL,Active,High,275000,32,0,0,0%,NE Ocala,
34480,Ocala,Marion,FL,Active,High,285000,30,0,0,0%,SE Ocala,
34481,Ocala,Marion,FL,Active,High,295000,28,0,0,0%,West Ocala,
34482,Ocala,Marion,FL,Active,High,325000,26,0,0,0%,NW Marion,
34491,Summerfield,Marion,FL,Active,High,285000,30,0,0,0%,The Villages,
